ID,offer_price,offer_size,offer_rooms,pref_max_price,pref_min_size,pref_min_rooms,img_url,Mietdauer
164299,450 €,55 m²,2,1.000€,80m²,3,https://www.tauschwohnung.com/uploads/housings/164299/medium/f3066824cfd9fb67d654cb77bd9bd373fb8a7289.jpg,
202858,800 €,74 m²,2,1.600€,90m²,3,https://www.tauschwohnung.com/uploads/housings/202858/medium/f757492f5b04968b8425ee2bbec0c4b6b65d8132.jpg,
187777,608 €,61 m²,"2,5",500€,30m²,1,https://www.tauschwohnung.com/uploads/housings/187777/medium/0e417bc5159a1d1ffad64bf78f56c0f9d89f704d.jpg,
193248,670 €,75 m²,2,1.300€,90m²,3,https://www.tauschwohnung.com/uploads/housings/193248/medium/48de0d6ed893561bbbed16350de714047b5263e7.jpg,
199967,1180 €,109 m²,3,700€,55m²,2,https://www.tauschwohnung.com/uploads/housings/199967/medium/9a72bc138832408923ec286be67f5754f47f80c6.jpg,
191788,514 €,65 m²,2,1.600€,85m²,"2,5",https://www.tauschwohnung.com/uploads/housings/191788/medium/29aefbbcb23e662ad745fdc494002bed757963f3.jpg,
196730,750 €,60 m²,2,1.000€,60m²,2,https://www.tauschwohnung.com/uploads/housings/196730/medium/16b1ea8f47d002c8ce26df1a8e5fedf635020f9d.jpg,
184443,980 €,110 m²,3,750€,50m²,2,https://www.tauschwohnung.com/uploads/housings/184443/medium/b14dc045393a1b818b26534e533e72f518257d7d.jpg,
170842,960 €,75 m²,3,1.500€,52m²,2,https://www.tauschwohnung.com/uploads/housings/170842/medium/6d5a2037c4a57c7bdccaad0afe25a94ef531da5a.jpg,
152485,802 €,67 m²,2,1.500€,50m²,"2,5",https://www.tauschwohnung.com/uploads/housings/152485/medium/63d66964f3228c7e7c0f89aed9ac042df3368149.jpg,
178759,360 €,36 m²,1,1.200€,58m²,2,https://www.tauschwohnung.com/uploads/housings/178759/medium/00a56eeffe4218fa9e86eca128606082ae39c36d.jpg,
190536,740 €,71 m²,2,2.000€,100m²,3,https://www.tauschwohnung.com/uploads/housings/190536/medium/803bb3916a2e2b3393d3a11cffff5f63eecbecfa.jpg,
169497,1450 €,105 m²,"2,5",1.600€,60m²,"2,5",https://www.tauschwohnung.com/uploads/housings/169497/medium/918ea55d270a8305062469801d7937a8237cdf5c.jpg,
163560,403 €,48 m²,2,1.400€,70m²,3,https://www.tauschwohnung.com/uploads/housings/163560/medium/80dc520c09b21a58e5d1523aa03de124c916cdf7.png,
191461,670 €,77 m²,"2,5",650€,35m²,1,https://www.tauschwohnung.com/uploads/housings/191461/medium/0996111b1103cf328563fcb660544eb2e1d23c27.jpg,
139611,930 €,75 m²,"2,5",2.000€,120m²,4,https://www.tauschwohnung.com/uploads/housings/139611/medium/c34371bb66c33294f6885d4920e277f88abc22bc.jpg,
188954,977 €,140 m²,3,1.500€,60m²,2,https://www.tauschwohnung.com/uploads/housings/188954/medium/a14d14fce7ae13826abacd5fddbb013ba20e0a57.jpg,
186104,400 €,53 m²,"1,5",1.600€,80m²,"3,5",https://www.tauschwohnung.com/uploads/housings/186104/medium/5bfc24e585014001ec2e95485dbbe68b17714400.jpg,
134006,413 €,55 m²,2,1.500€,95m²,"3,5",https://www.tauschwohnung.com/uploads/housings/134006/medium/617992bb566213ecefc7428aac52ff5570a827b6.jpg,
183795,500 €,80 m²,3,550€,65m²,"2,5",https://www.tauschwohnung.com/uploads/housings/183795/medium/05349230be96f4fee5fc8a8adc796880e2d4146a.jpg,
174445,720 €,60 m²,2,1.500€,75m²,2,https://www.tauschwohnung.com/uploads/housings/174445/medium/a9432ac9abe314e3dae41ade354f8c9b199d7803.jpg,
52050,1077 €,78 m²,"2,5",1.600€,95m²,"3,5",https://www.tauschwohnung.com/uploads/housings/52050/medium/a715597a5ab619b66fd011bab0519b47bfdcda7f.jpg,
173396,324 €,50 m²,2,750€,60m²,3,https://www.tauschwohnung.com/uploads/housings/173396/medium/abadc7cd247dbd390bd439c804556e3d597646d4.jpg,
158609,300 €,32 m²,1,1.400€,45m²,"1,5",https://www.tauschwohnung.com/uploads/housings/158609/medium/d8f62c3d180b3cb1d7919bed49a8c188f1f1e5e3.jpg,
150599,726 €,83 m²,3,1.350€,90m²,3,https://www.tauschwohnung.com/uploads/housings/150599/medium/fa476d0f85725d8e078d395e0fb5280b17aa4a98.jpg,
183156,1200 €,73 m²,2,1.350€,55m²,2,https://www.tauschwohnung.com/uploads/housings/183156/medium/9b70ef04fc7e5d9cc2504558a088ad72e61fab12.jpg,
183531,600 €,73 m²,2,1.000€,60m²,2,https://www.tauschwohnung.com/uploads/housings/183531/medium/aa55ebc8809a0db6e329b2f7ab3425f1ff84ffc7.jpg,
170238,412 €,56 m²,2,700€,1m²,2,https://www.tauschwohnung.com/uploads/housings/170238/medium/11f0d33d23d5a9bd352a0b4013ae9f7fa03794c3.jpg,
182836,2080 €,126 m²,4,1.500€,80m²,"2,5",https://www.tauschwohnung.com/uploads/housings/182836/medium/22f510be2dd93e35a914451e7658e4a46de488df.jpg,
172614,300 €,35 m²,1,900€,50m²,"1,5",https://www.tauschwohnung.com/uploads/housings/172614/medium/e31a7e53e0d33deb82bcb49db015f0c458413566.jpg,
180246,636 €,63 m²,3,1.500€,95m²,4,https://www.tauschwohnung.com/uploads/housings/180246/medium/650f63ca95bada21a81f65489bd4f7b348994ee1.jpg,
149482,945 €,109 m²,"3,5",550€,60m²,2,https://www.tauschwohnung.com/uploads/housings/149482/medium/4a1ec35f4d01c0277ba65310848c6c1dfdd8b303.jpg,
197884,746 €,59 m²,2,1.000€,70m²,3,https://www.tauschwohnung.com/uploads/housings/197884/medium/6f0bfdb5c04b8e202d71e4e522fe97e0cb50fd14.jpg,
183356,683 €,71 m²,2,650€,45m²,"1,5",https://www.tauschwohnung.com/uploads/housings/183356/medium/d4e3d252b0b8f5e3de25c9decd34b745e76a22a7.jpg,
198757,900 €,85 m²,2,2.700€,70m²,3,https://www.tauschwohnung.com/uploads/housings/198757/medium/1676f3e7f7537da57061ceaec232c6036006da1b.jpg,
23728,700 €,58 m²,2,1.400€,90m²,3,https://www.tauschwohnung.com/uploads/housings/23728/medium/867c7cc65eafc50e650e65a1742aeb5911428bb8.jpeg,
32979,781 €,57 m²,2,1.950€,75m²,3,https://www.tauschwohnung.com/uploads/housings/32979/medium/9c8d9f91dd723b69e995241f01c484f967ed35e0.jpg,
174262,760 €,58 m²,"2,5",1.000€,79m²,3,https://www.tauschwohnung.com/uploads/housings/174262/medium/8b9a6bbc86d9802253eeec3a9596b09403e66eb9.png,
139271,1540 €,103 m²,3,800€,45m²,2,https://www.tauschwohnung.com/uploads/housings/139271/medium/9d251f1c576f7c27df82e2c7d2e1587a2e0e6f01.jpg,
164339,950 €,69 m²,2,2.500€,90m²,3,https://www.tauschwohnung.com/uploads/housings/164339/medium/dd92d46c2667144362cb73e50df839d85bf6cae6.jpg,
191360,450 €,55 m²,2,1.500€,90m²,"3,5",https://www.tauschwohnung.com/uploads/housings/191360/medium/c40b0880f34da17f220c1ae6d61846167eeee6a5.jpg,
176560,3000 €,240 m²,6,3.000€,200m²,5,https://www.tauschwohnung.com/uploads/housings/176560/medium/9ee7e7e4b082318cf207ef1666a81ef07766c5e6.jpg,
179697,900 €,74 m²,3,10.000€,100m²,3,https://www.tauschwohnung.com/uploads/housings/179697/medium/3c263aad80da38a5c84bf2224679fce3de98bfab.jpg,
201072,1300 €,80 m²,2,2.000€,100m²,3,https://www.tauschwohnung.com/uploads/housings/201072/medium/5ebcb2a636c61ff3b35d1a19f93d7ac9a5cba070.jpg,
177112,593 €,81 m²,2,2.200€,80m²,3,https://www.tauschwohnung.com/uploads/housings/177112/medium/817e964a1c89c799250941d3123db09e5ae96c30.jpg,
137347,1800 €,95 m²,3,3.000€,120m²,4,https://www.tauschwohnung.com/uploads/housings/137347/medium/67ccf41e768d75b3393e8ccbb75d5f7bacc9c165.jpg,
138705,1072 €,107 m²,4,600€,70m²,3,https://www.tauschwohnung.com/uploads/housings/138705/medium/ee4ca970665bcae6664fdf79dfe8bfc97eba7875.jpg,
131154,1800 €,101 m²,"3,5",3.700€,90m²,"2,5",https://www.tauschwohnung.com/uploads/housings/131154/medium/c9e9edcbfab6b7c7a6aa1f5643dcb4a4261f93e8.jpg,
147327,358 €,55 m²,2,1.100€,65m²,"2,5",https://www.tauschwohnung.com/uploads/housings/147327/medium/f9ff783eccc6e540b975df2b93b205a8d6826403.jpg,
76310,736 €,61 m²,2,700€,50m²,"1,5",https://www.tauschwohnung.com/uploads/housings/76310/medium/af70ac0c2f1035141b058e9352b251d318167653.jpg,
141886,1190 €,103 m²,"3,5",1.900€,120m²,"4,5",https://www.tauschwohnung.com/uploads/housings/141886/medium/5c48e9ea6ed081aa750dc624722fe19554a19e8b.jpg,
108612,522 €,79 m²,2,700€,45m²,"1,5",https://www.tauschwohnung.com/uploads/housings/108612/medium/e86e488bce6c2f0564cee7f03c5a9e67c616756d.jpg,
154618,410 €,47 m²,2,1.000€,75m²,3,https://www.tauschwohnung.com/uploads/housings/154618/medium/4f402000410027ae17fb98431def5f2a859a5c87.jpg,
